Категория;Продукт / Блюдо;Калории (ккал);Белки (г);Жиры (г);Углеводы (г)
Овощи и зелень;Огурец;15;0.8;0.1;2.8
Овощи и зелень;Помидор;18;0.9;0.2;3.9
Овощи и зелень;Капуста белокочанная;27;1.8;0.1;4.7
Овощи и зелень;Брокколи;34;2.8;0.4;6.6
Овощи и зелень;Морковь;35;1.3;0.1;6.9
Овощи и зелень;Свекла;43;1.5;0.1;8.8
Овощи и зелень;Картофель (сырой);77;2.0;0.4;16.3
Овощи и зелень;Лук репчатый;40;1.1;0.1;9.0
Овощи и зелень;Чеснок;149;6.5;0.5;29.9
Овощи и зелень;Перец болгарский;27;1.3;0.1;5.3
Овощи и зелень;Кабачок;24;0.6;0.3;4.6
Овощи и зелень;Баклажан;24;1.2;0.1;4.5
Овощи и зелень;Сельдерей (стебель);16;0.9;0.1;2.1
Овощи и зелень;Шпинат;23;2.9;0.4;3.6
Овощи и зелень;Салат листовой;15;1.2;0.3;1.3
Овощи и зелень;Редис;19;1.2;0.1;3.4
Овощи и зелень;Тыква;26;1.0;0.1;4.4
Овощи и зелень;Спаржа;20;1.9;0.1;3.1
Овощи и зелень;Цветная капуста;25;1.9;0.3;4.2
Овощи и зелень;Зеленый горошек;81;5.4;0.4;14.4
Фрукты и ягоды;Яблоко;52;0.3;0.2;13.8
Фрукты и ягоды;Груша;57;0.4;0.1;15.2
Фрукты и ягоды;Банан;89;1.1;0.3;22.8
Фрукты и ягоды;Апельсин;47;0.9;0.1;11.8
Фрукты и ягоды;Мандарин;53;0.8;0.3;13.3
Фрукты и ягоды;Грейпфрут;42;0.8;0.2;10.7
Фрукты и ягоды;Лимон;29;1.1;0.3;9.3
Фрукты и ягоды;Виноград;69;0.7;0.2;18.1
Фрукты и ягоды;Клубника;32;0.7;0.3;7.7
Фрукты и ягоды;Малина;52;1.2;0.6;11.9
Фрукты и ягоды;Черника;57;0.7;0.3;14.5
Фрукты и ягоды;Вишня;50;1.0;0.3;12.2
Фрукты и ягоды;Черешня;63;1.1;0.2;16.0
Фрукты и ягоды;Персик;39;0.9;0.3;9.5
Фрукты и ягоды;Абрикос;48;1.4;0.4;11.1
Фрукты и ягоды;Слива;46;0.7;0.3;11.4
Фрукты и ягоды;Арбуз;30;0.6;0.1;7.6
Фрукты и ягоды;Дыня;34;0.8;0.2;8.2
Фрукты и ягоды;Киви;61;1.1;0.5;14.7
Фрукты и ягоды;Авокадо;160;2.0;14.7;8.5
Крупы, бобовые и орехи;Гречка (сухая);343;13.3;3.4;71.5
Крупы, бобовые и орехи;Рис белый (сухой);344;6.7;0.7;78.9
Крупы, бобовые и орехи;Овсяные хлопья;389;16.9;6.9;66.3
Крупы, бобовые и орехи;Макароны (сухие);371;13.0;1.5;74.9
Крупы, бобовые и орехи;Чечевица (сухая);353;25.8;1.1;60.1
Крупы, бобовые и орехи;Нут (сухой);364;19.3;6.0;60.6
Крупы, бобовые и орехи;Фасоль (сухая);333;23.6;2.1;60.0
Крупы, бобовые и орехи;Хлеб ржаной;259;8.5;3.3;48.3
Крупы, бобовые и орехи;Хлеб пшеничный;266;8.9;3.3;50.6
Крупы, бобовые и орехи;Грецкий орех;654;15.2;65.2;13.7
Крупы, бобовые и орехи;Миндаль;579;21.1;49.9;21.6
Крупы, бобовые и орехи;Арахис;567;25.8;49.2;16.1
Крупы, бобовые и орехи;Кешью;553;18.2;43.8;30.2
Крупы, бобовые и орехи;Семена подсолнечника;584;20.8;51.5;20.0
Крупы, бобовые и орехи;Семена чиа;486;16.5;30.7;42.1
Мясо и птица;Куриное филе (сырое);113;23.6;1.9;0.0
Мясо и птица;Куриное бедро (без кожи);130;19.3;5.7;0.0
Мясо и птица;Индейка (филе);114;23.7;1.5;0.0
Мясо и птица;Говядина (постная);187;18.9;12.4;0.0
Мясо и птица;Свинина (вырезка);143;22.5;5.3;0.0
Мясо и птица;Баранина;294;16.5;25.3;0.0
Мясо и птица;Утка (с кожей);337;15.1;30.8;0.0
Мясо и птица;Печень говяжья;135;20.4;3.6;4.0
Мясо и птица;Печень куриная;119;16.9;5.9;0.0
Мясо и птица;Бекон;541;37.0;41.8;1.4
Рыба и морепродукты;Лосось (сырой);208;20.4;13.4;0.0
Рыба и морепродукты;Треска (сырая);82;17.8;0.7;0.0
Рыба и морепродукты;Минтай (сырой);72;15.9;0.9;0.0
Рыба и морепродукты;Тунец (сырой);130;29.0;0.6;0.0
Рыба и морепродукты;Креветки;99;24.0;0.3;0.2
Рыба и морепродукты;Кальмар;92;15.6;1.4;3.1
Рыба и морепродукты;Мидии;86;11.9;2.2;3.7
Рыба и морепродукты;Сельдь;158;18.0;9.0;0.0
Рыба и морепродукты;Скумбрия;205;13.9;11.9;0.0
Рыба и морепродукты;Красная икра;249;31.5;13.2;1.0
Молочные продукты и яйца;Яйцо куриное;155;12.6;10.6;1.1
Молочные продукты и яйца;Творог 5%;121;21.2;5.0;1.5
Молочные продукты и яйца;Творог обезжиренный;71;16.5;0.1;1.3
Молочные продукты и яйца;Кефир 2.5%;53;2.9;2.5;4.0
Молочные продукты и яйца;Молоко 2.5%;52;2.9;2.5;4.8
Молочные продукты и яйца;Сыр Голландский;352;26.0;26.8;0.0
Молочные продукты и яйца;Сыр Моцарелла;280;28.0;17.0;3.1
Молочные продукты и яйца;Сыр Пармезан;431;38.0;29.0;4.1
Молочные продукты и яйца;Сметана 15%;158;2.6;15.0;3.0
Молочные продукты и яйца;Сливочное масло 82.5%;748;0.5;82.5;0.8
Молочные продукты и яйца;Йогурт натуральный;59;10.0;0.4;3.6
Молочные продукты и яйца;Сливки 10%;119;2.7;10.0;4.5
Молочные продукты и яйца;Сливки 33%;314;2.5;33.0;4.0
Молочные продукты и яйца;Ряженка 4%;67;2.8;4.0;4.2
Молочные продукты и яйца;Сгущенное молоко;320;7.2;8.5;56.0
Готовые блюда;Борщ на мясном бульоне;58;3.0;3.5;4.5
Готовые блюда;Суп куриный с лапшой;45;3.5;1.5;4.0
Готовые блюда;Пюре картофельное;90;2.0;3.5;13.0
Готовые блюда;Котлета свино-говяжья;245;14.0;17.0;9.0
Готовые блюда;Плов с говядиной;180;6.5;8.0;21.0
Готовые блюда;Салат Оливье;198;6.0;16.0;8.0
Готовые блюда;Салат Цезарь с курицей;185;12.0;14.0;4.0
Готовые блюда;Сырники из творога;220;14.0;10.0;18.0
Готовые блюда;Блины классические;230;6.0;10.0;29.0
Готовые блюда;Пицца Маргарита;266;11.0;10.0;33.0
Готовые блюда;Гречка отварная;105;4.2;1.1;21.3
Готовые блюда;Рис отварной;116;2.2;0.5;24.9
Готовые блюда;Макароны отварные;112;3.9;0.4;22.8
Готовые блюда;Овсяная каша на молоке;102;3.2;4.1;14.2
Готовые блюда;Омлет из 2-х яиц;184;11.0;15.0;1.8
Готовые блюда;Щи из свежей капусты;31;1.2;1.6;3.5
Готовые блюда;Суп-пюре из грибов;67;1.9;4.8;4.7
Готовые блюда;Солянка мясная сборная;89;5.2;6.3;2.4
Готовые блюда;Куриная грудка запеченная;137;29.8;1.8;0.0
Готовые блюда;Гуляш из говядины;148;16.2;8.5;3.1
Готовые блюда;Бефстроганов;210;14.5;15.2;4.2
Готовые блюда;Шашлык из курицы;165;21.0;9.0;0.0
Готовые блюда;Шашлык из свинины;280;18.0;23.0;0.0
Готовые блюда;Рыбная котлета;135;13.0;5.2;8.5
Готовые блюда;Лосось на гриле;230;23.0;15.0;0.0
Готовые блюда;Салат Греческий;95;2.1;8.2;4.1
Готовые блюда;Салат Винегрет;120;1.7;8.0;10.0
Готовые блюда;Салат Мимоза;242;9.1;21.3;4.5
Готовые блюда;Пельмени отварные;275;11.5;13.2;28.0
Готовые блюда;Вареники с картофелем;185;4.2;2.8;35.0
Готовые блюда;Вареники с творогом;235;11.0;5.5;34.0
Готовые блюда;Лазанья мясная;175;9.5;9.8;12.5
Готовые блюда;Паста Карбонара;310;12.5;18.0;26.0
Готовые блюда;Сендвич с тунцом;220;14.0;7.5;23.0
Готовые блюда;Греческий йогурт с медом;115;8.0;2.5;15.0
Готовые блюда;Запеканка творожная;198;14.5;7.0;19.0
Готовые блюда;Голубцы ленивые;132;8.5;7.8;7.4
Готовые блюда;Перец фаршированный (мясо+рис);118;7.2;6.1;9.3
Готовые блюда;Рагу овощное;62;1.5;3.2;7.3
Готовые блюда;Капуста тушеная с мясом;110;7.5;7.2;4.5
Готовые блюда;Стейк из говядины;250;25.0;16.0;0.0
Готовые блюда;Жаркое по-домашнему;145;8.2;9.1;11.2
Готовые блюда;Суши Ролл Филадельфия;182;7.5;6.8;22.5
Готовые блюда;Суши Ролл Калифорния;145;4.8;4.2;23.0
Готовые блюда;Чечевичный суп-пюре;72;4.5;2.1;9.2
Готовые блюда;Куриные наггетсы (запеченные);210;18.2;9.5;12.0
Готовые блюда;Рыба, запеченная с овощами;115;14.2;4.5;3.8
